event,reserve_code,station,station_name,parameter,min,max,mean,median,total
Irma,gtm,gtmpcmet,Pellicer Creek (PC),atemp,71.78,87.08,79.4442931937173,80.06,NA
Irma,gtm,gtmpcmet,Pellicer Creek (PC),bp,29.1164658634538,30.0614221592251,29.8472918467835,29.9137727380109,NA
Irma,gtm,gtmpcmet,Pellicer Creek (PC),intensprcp,0,3.79527559055118,0.0703851809099779,0,NA
Irma,gtm,gtmpcmet,Pellicer Creek (PC),maxwspd,1.78955348155144,65.0950078914338,20.0454194191147,17.4481464451266,NA
Irma,gtm,gtmpcmet,Pellicer Creek (PC),rh,46,100,84.1710296684119,86,NA
Irma,gtm,gtmpcmet,Pellicer Creek (PC),totprcp,0,0.948818897637795,0.0175962952274945,0,10.0826771653543
Irma,gtm,gtmpcmet,Pellicer Creek (PC),wspd,0.671082555581791,43.1729777424286,12.5842618843392,10.7373208893087,NA
